age,gender,origin_country,relationship_status,english_proficiency,education_expenses,overwhelmed,depressed,anxiety,belonging_community,comfortable_new_culture,factors,support,guidance,university_service,communicate_concerns
26 - 30,Female,India,Yes,Proficient,I have taken a loan from a bank or other financial institution,Sometimes,Sometimes,Often,"Somewhat connected, but still adjusting","Somewhat comfortable, still adjusting to differences","English language barriers, Financial difficulties, Homesickness, Academic stress",6,Family,Yes,Sometimes
More than 30,Female,India,Yes,Intermediate,My family is providing financial support,Sometimes,Never,Never,"Strongly connected, feels like home","Extremely comfortable, I feel like I belong","Academic stress, ",4,Family,Yes,Never
More than 30,Male,Nigeria,No,Proficient,I am paying for it myself,Often,Sometimes,Almost always,"Somewhat connected, but still adjusting","Not very comfortable, still finding my place","Experiences of discrimination, Loneliness",8,Family,Yes,Rarely
21 - 25,Female,Lebanon,No,Intermediate,My family is providing financial support,Sometimes,Almost always,Almost always,"Somewhat connected, but still adjusting","Somewhat comfortable, still adjusting to differences","Loneliness, Homesickness, Inadequate or unsatisfactory living accommodations, Academic stress",8,Friends,Yes,Sometimes
21 - 25,Male,Pakistan,No,Intermediate,My family is providing financial support,Sometimes,Sometimes,Sometimes,"Strongly connected, feels like home","Extremely comfortable, I feel like I belong","Culture shock and adjustment, Experiences of discrimination, Loneliness",10,Family,No,Often
21 - 25,Female,India,No,Intermediate,I have taken a loan from a bank or other financial institution,Often,Sometimes,Sometimes,Strongly disconnected and homesick.,"Not very comfortable, still finding my place","Loneliness, Financial difficulties, Homesickness, Academic stress",10,Mental health professional,No,Always
21 - 25,Male,India,No,Intermediate,I am paying for it myself,Almost always,Sometimes,Sometimes,"Somewhat connected, but still adjusting","Not very comfortable, still finding my place","Loneliness, Financial difficulties, Academic stress",5,Friends,Yes,Rarely
26 - 30,Female,India,No,Proficient,I have taken a loan from a bank or other financial institution,Sometimes,Never,Sometimes,"Somewhat connected, but still adjusting","Somewhat comfortable, still adjusting to differences",Academic stress,10,Friends,Yes,Rarely
21 - 25,Female,India,No,Proficient,My family is providing financial support,Sometimes,Sometimes,Sometimes,"Somewhat connected, but still adjusting","Somewhat comfortable, still adjusting to differences","Culture shock and adjustment, Experiences of discrimination, Loneliness, Financial difficulties, Homesickness, Inadequate or unsatisfactory living accommodations, Academic stress",9,Friends,No,Sometimes
26 - 30,Female,India,Yes,Intermediate,My family is providing financial support,Sometimes,Sometimes,Sometimes,"Not very connected, still feeling like an outsider","Not very comfortable, still finding my place","Homesickness, Inadequate or unsatisfactory living accommodations, Academic stress",10,Family,Yes,Sometimes
26 - 30,Male,India,No,Proficient,I am paying for it myself,Rarely,Never,Rarely,"Somewhat connected, but still adjusting","Not very comfortable, still finding my place","Culture shock and adjustment, Loneliness, Inadequate or unsatisfactory living accommodations",10,Friends,No,Never
18 - 20,Female,Poland,No,Proficient,I have taken a loan from a bank or other financial institution,Often,Sometimes,Often,"Not very connected, still feeling like an outsider","Somewhat comfortable, still adjusting to differences","Loneliness, Financial difficulties, Homesickness, Academic stress",10,University support services,Yes,Always
21 - 25,Male,Pakistan,No,Proficient,I have taken a loan from a bank or other financial institution,Often,Rarely,Almost always,"Strongly connected, feels like home","Extremely comfortable, I feel like I belong","Loneliness, Financial difficulties, Inadequate or unsatisfactory living accommodations, Academic stress",7,Mental health professional,Yes,Often
More than 30,Male,Argentina,Yes,Proficient,Lecturer,Sometimes,Sometimes,Sometimes,"Somewhat connected, but still adjusting","Somewhat comfortable, still adjusting to differences","Financial difficulties, Inadequate or unsatisfactory living accommodations",10,Mental health professional,Yes,Sometimes
